Customer ID,Total_Spend,Invoice,Quantity
12346.0,-51.74000000000524,17,53
12347.0,4921.53,8,2967
12348.0,2019.4,5,2714
12349.0,4404.54,5,1619
12350.0,334.4,1,197
12351.0,300.93,1,261
12352.0,1889.21,13,658
12353.0,406.76,2,212
12354.0,1079.4,1,530
12355.0,947.61,2,543
12356.0,6371.73,6,3416
12357.0,18287.66,3,6587
12358.0,3887.07,5,1079
12359.0,8652.34,14,2513
12360.0,4212.89,9,2458
12361.0,511.25,4,235
12362.0,5284.58,14,2213
12363.0,552.0,2,408
12364.0,1313.1,4,1506
12365.0,320.69,3,173
12366.0,500.24,1,296
12367.0,168.9,1,173
12368.0,917.6999999999999,1,330
12369.0,1791.15,3,1241
12370.0,4316.56,7,2604
12371.0,4067.38,5,1436
12372.0,1298.04,3,794
12373.0,1127.65,3,516
12374.0,2989.2200000000003,4,1362
12375.0,455.42,3,177
12376.0,503.15,2,240
12377.0,3426.32,4,2105
12378.0,5416.32,2,3316
12379.0,1618.27,5,814
12380.0,7888.0,15,3325
12381.0,1803.96,6,783
12382.0,-18.38,1,-1
12383.0,1839.31,6,1529
12384.0,566.16,3,121
12385.0,1923.4,2,611
12386.0,401.9,2,354
12387.0,143.94,1,134
12388.0,3901.11,8,2001
12389.0,1433.33,3,614
12390.0,549.84,1,353
12391.0,2699.24,7,1196
12392.0,234.75000000000003,1,73
12393.0,2376.75,7,1305
12394.0,1272.48,2,819
12395.0,4700.82,18,3200
12396.0,931.43,1,591
12397.0,2409.9,2,1263
12398.0,1635.6599999999999,1,1394
12399.0,1962.3,7,2198
12400.0,205.25,1,91
12401.0,84.3,1,11
12402.0,1244.15,7,583
12403.0,1001.36,3,259
12404.0,63.24,1,1
12405.0,1710.39,1,857
12406.0,6072.21,7,3383
12407.0,1708.1200000000001,5,1416
12408.0,4279.64,14,2186
12409.0,23090.47,13,13027
12410.0,1001.46,4,339
12411.0,346.9,1,138
12412.0,2581.03,8,1991
12413.0,935.5,6,315
12414.0,692.41,8,301
12415.0,143269.29,33,91315
12416.0,202.56,1,132
12417.0,6688.71,27,2870
12418.0,2016.95,5,1087
12419.0,503.01,2,231
12420.0,600.39,1,345
12421.0,1092.83,8,647
12422.0,4119.35,21,2591
12423.0,2612.19,11,1781
12424.0,3289.78,7,2015
12425.0,1680.81,3,1103
12426.0,1311.41,3,577
12427.0,708.37,5,236
12428.0,7877.2,12,3503
12429.0,6154.01,9,2770
12430.0,256.4,1,117
12431.0,10293.66,33,4544
12432.0,5059.32,5,1801
12433.0,16641.74,11,13533
12434.0,1062.48,5,511
12435.0,13925.93,6,4958
12436.0,509.01,1,211
12437.0,12394.85,47,7931
12438.0,2906.85,2,1180
12439.0,1089.18,3,448
12440.0,768.15,3,308
12441.0,173.55,1,121
12442.0,172.06,1,182
12443.0,485.31,1,182
12444.0,5005.46,5,1155
12445.0,426.48,3,204
12446.0,1002.3100000000001,1,352
12447.0,476.49,1,190
12448.0,449.45,1,243
12449.0,4835.89,6,2282
12450.0,666.95,7,435
12451.0,12546.53,10,9226
12452.0,428.57,3,183
12453.0,707.09,1,473
12454.0,4292.71,9,2232
12455.0,5879.95,10,3302
12456.0,3153.89,4,1616
12457.0,2472.31,14,938
12458.0,1777.49,4,986
12459.0,454.36,1,258
12460.0,326.65,1,170
12461.0,826.88,2,287
12462.0,1124.01,4,514
12463.0,1303.63,7,757
12464.0,1212.05,8,112
12465.0,733.89,3,475
12466.0,56.73,1,1
12467.0,0.0,2,0
12468.0,3624.55,10,2184
12469.0,3070.54,2,2552
12470.0,211.95,1,95
12471.0,37920.01,129,16436
12472.0,15447.69,37,9978
12473.0,2837.73,9,2338
12474.0,11948.75,54,7787
12475.0,1149.64,2,771
12476.0,13684.12,38,5535
12477.0,20173.64,12,6086
12478.0,680.99,1,236
12479.0,477.3,3,351
12480.0,5435.1,8,2947
12481.0,12041.15,18,7020
12482.0,21893.53,32,27039
12483.0,4823.47,27,2133
12484.0,6287.8,16,3255
12485.0,708.1,1,414
12486.0,1037.28,1,523
12487.0,259.79999999999995,2,144
12488.0,1298.66,3,529
12489.0,334.93,1,105
12490.0,9818.64,22,5902
12491.0,460.40000000000003,1,260
12492.0,715.21,3,444
12493.0,416.79,3,206
12494.0,1685.92,17,952
12495.0,323.4,2,126
12496.0,45.34,2,30
12497.0,6211.75,4,5684
12498.0,403.70000000000005,3,159
12499.0,393.72,1,302
12500.0,5872.31,25,3360
12501.0,2089.68,2,1722
12502.0,3723.87,5,820
12503.0,0.0,2,560
12504.0,411.0,6,419
12505.0,908.0,3,313
12506.0,73.5,1,23
12507.0,1797.31,5,1256
12508.0,397.88,2,271
12509.0,176.5,1,55
12510.0,3689.33,16,2018
12511.0,3065.77,2,1748
12512.0,132.18,2,96
12513.0,586.79,2,456
12514.0,1597.76,2,840
12515.0,383.7,1,131
12516.0,2648.62,4,1952
12517.0,2443.65,6,1338
12518.0,2056.89,5,1318
12519.0,685.19,3,380
12520.0,2582.51,6,1430
12521.0,599.68,1,309
12522.0,192.72,2,194
12523.0,4201.05,30,2236
12524.0,11091.36,18,7173
12525.0,835.1800000000001,8,487
12526.0,1316.66,3,632
12527.0,735.51,5,526
12528.0,1922.28,8,750
12529.0,311.78000000000003,2,190
12530.0,3689.86,12,2698
12531.0,1899.05,3,1104
12532.0,349.83000000000004,1,153
12533.0,1149.99,6,568
12534.0,1089.18,1,651
12535.0,716.35,2,219
12536.0,4106.82,5,2652
12537.0,732.94,1,449
12538.0,640.45,2,336
12539.0,9498.9,8,4534
12540.0,22107.29,36,11009
12541.0,981.18,3,680
12542.0,423.38,4,514
12543.0,980.25,1,688
12544.0,355.7,2,132
12545.0,1000.39,2,523
12546.0,1141.5,3,617
12547.0,383.58,3,309
12548.0,95.19999999999999,1,49
12549.0,1575.68,6,1366
12550.0,964.83,1,569
12551.0,168.0,1,100
12552.0,437.82,2,88
12553.0,4548.82,17,2282
12554.0,468.5,1,240
12555.0,129.23,1,1
12556.0,599.56,2,355
12557.0,18096.14,8,6382
12558.0,1.0658141036401503e-14,2,0
12559.0,536.21,3,281
12560.0,2101.39,4,1078
12561.0,238.85,1,177
12562.0,4966.92,9,2327
12563.0,249.24,1,113
12564.0,456.9,1,133
12565.0,131.17,2,75
12566.0,346.7,2,264
12567.0,11451.44,17,5086
12568.0,70.0,1,48
12569.0,4064.9900000000002,35,1793
12570.0,77.52,1,1
12571.0,519.61,2,523
12572.0,1004.72,3,450
12573.0,717.41,5,479
12574.0,218.45,1,61
12575.0,622.8199999999999,2,315
12576.0,2083.87,11,1479
12577.0,1554.7,9,1185
12578.0,4572.45,7,2334
12579.0,410.72,3,278
12580.0,1052.9,2,569
12581.0,197.71,1,161
12582.0,1980.4,4,985
12583.0,13489.039999999999,31,8483
12584.0,1893.95,18,354
12585.0,1982.81,4,1258
12586.0,2045.67,5,685
12587.0,144.0,1,51
12588.0,938.98,5,434
12589.0,3094.17,11,1369
12590.0,9853.48,5,4277
12591.0,1338.95,3,653
12592.0,1152.62,8,1872
12593.0,418.09999999999997,3,206
12594.0,5044.51,17,2743
12595.0,299.02,1,271
12596.0,618.27,2,474
12597.0,3683.13,5,2187
12598.0,4414.67,15,2840
12599.0,2296.72,13,2189
12600.0,4879.29,26,1374
12601.0,673.76,7,289
12602.0,153.12,1,162
12603.0,739.1999999999999,1,64
12604.0,254.18,2,201
12605.0,1225.45,5,925
12606.0,21.0,1,1
12607.0,3.552713678800501e-15,2,0
12608.0,415.79,1,323
12609.0,3417.86,10,1552
12610.0,2057.99,7,1028
12611.0,1193.32,1,846
12612.0,643.59,2,251
12613.0,6573.82,13,4037
12614.0,315.6,1,76
12615.0,5564.88,11,3295
12616.0,1045.35,7,481
12617.0,352.98,1,210
12618.0,177.31,1,96
12619.0,3354.95,14,3494
12620.0,1339.41,3,1181
12621.0,24114.7,44,13648
12622.0,180.1,1,69
12623.0,3639.84,9,1966
12624.0,641.13,2,355
12625.0,5095.38,5,3274
12626.0,6388.35,13,3350
12627.0,4478.53,7,2752
12628.0,769.61,4,445
12629.0,1558.22,2,722
12630.0,1270.88,2,548
12631.0,3452.27,7,1593
12632.0,738.88,4,668
12633.0,5595.21,10,3207
12634.0,490.0,2,337
12635.0,2930.41,4,1949
12636.0,141.0,1,1
12637.0,8215.16,14,4245
12638.0,921.49,2,663
12639.0,1312.37,3,631
12640.0,1174.58,3,311
12641.0,185.9,1,72
12642.0,1013.26,3,552
12643.0,7835.3,14,4357
12644.0,1815.54,6,1001
12645.0,3499.1,10,2089
